Mol ID,Hybridization,Range_NWCHEM_Predictions,Avg_NWChemPrediction,Experimental_1JCH,Error,Abs error,,Mol ID,Hybridization,Range_NWCHEM_Predictions,Avg_NWChemPrediction,Experimental_1JCH,Error,Abs error,,Mol ID,Hybridization,Range_NWCHEM_Predictions,Avg_NWChemPrediction,Experimental_1JCH,Error,Abs error
74_NWChem_1JCH_mulliken,SP3,[125.4135:126.6231:126.6231:125.4135:],126.0183,125.6,-0.4183,0.4183,,82_NWChem_1JCH_mulliken,SP2,[149.4845:],149.4845,148,-1.4845,1.4845,,,,,,,,
42_NWChem_1JCH_mulliken,SP3,[150.4084:150.4084:150.4084:],150.4084,150,-0.4084,0.4084,,163_NWChem_1JCH_mulliken,SP2,[196.7829:],196.7829,195.3,-1.4829,1.4829,,,,,,,,
10_NWChem_1JCH_mulliken,SP3,[123.6639:122.6413:123.1439:123.0241:122.9386:123.5651:123.0241:123.1439:123.6639:122.6413:122.9386:123.5651:123.4722:123.4722:],123.2070143,123.6,0.3929857,0.3929857,,144_NWChem_1JCH_mulliken,SP2,[159.5208:],159.5208,161,1.4792,1.4792,,,,,,,,
99_NWChem_1JCH_mulliken,SP3,[129.6176:],129.6176,130,0.3824,0.3824,,77_NWChem_1JCH_mulliken,SP2,[160.6603:160.6603:],160.6603,159.2,-1.4603,1.4603,,,,,,,,
76_NWChem_1JCH_mulliken,SP3,[144.6654:134.823:134.823:144.6654:],139.7442,139.4,-0.3442,0.3442,,108_NWChem_1JCH_mulliken,SP2,[159.5627:],159.5627,161,1.4373,1.4373,,,,,,,,
88_NWChem_1JCH_mulliken,SP3,[137.5407:137.5407:137.5407:137.5407:],137.5407,137.2,-0.3407,0.3407,,160_NWChem_1JCH_mulliken,SP2,[218.4062:],218.4062,217,-1.4062,1.4062,,,,,,,,
69_NWChem_1JCH_mulliken,SP3,[170.3365:170.3365:170.3365:170.3365:],170.3365,170.6,0.2635,0.2635,,176_NWChem_1JCH_mulliken,SP2,[169.4964:169.4899:],169.49315,168.1,-1.39315,1.39315,,,,,,,,
28_NWChem_1JCH_mulliken,SP3,[125.6764:125.6865:125.6531:125.6991:125.66:125.6737:125.6954:125.6708:125.6771:125.6772:125.6574:125.6916:],125.676525,125.9,0.223475,0.223475,,80_NWChem_1JCH_mulliken,SP2,[162.0832:],162.0832,160.7,-1.3832,1.3832,,,,,,,,
18_NWChem_1JCH_mulliken,SP3,[140.8177:140.8177:],140.8177,141,0.1823,0.1823,,156_NWChem_1JCH_mulliken,SP2,[178.0606:],178.0606,176.7,-1.3606,1.3606,,,,,,,,
100_NWChem_1JCH_mulliken,SP3,[135.1741:135.1741:],135.1741,135,-0.1741,0.1741,,169_NWChem_1JCH_mulliken,SP2,[159.6542:],159.6542,161,1.3458,1.3458,,,,,,,,
21_NWChem_1JCH_mulliken,SP3,[144.1757:144.1701:144.1756:144.1699:144.1702:144.1757:],144.1728667,144,-0.1728667,0.1728667,,170_NWChem_1JCH_mulliken,SP2,[154.6662:],154.6662,156,1.3338,1.3338,,,,,,,,
99_NWChem_1JCH_mulliken,SP3,[130.3127:135.3468:130.2631:135.3911:],132.828425,133,0.171575,0.171575,,169_NWChem_1JCH_mulliken,SP2,[159.6683:],159.6683,161,1.3317,1.3317,,,,,,,,
2_NWChem_1JCH_mulliken,SP3,[125.0636:125.0636:125.0636:125.0636:125.0636:125.0636:],125.0636,124.9,-0.1636,0.1636,,155_NWChem_1JCH_mulliken,SP2,[175.9995:176.0035:],176.0015,174.7,-1.3015,1.3015,,,,,,,,
20_NWChem_1JCH_mulliken,SP3,[184.8511:184.8511:184.8511:184.8511:],184.8511,185,0.1489,0.1489,,131_NWChem_1JCH_mulliken,SP2,[163.0119:],163.0119,164.3,1.2881,1.2881,,,,,,,,
100_NWChem_1JCH_mulliken,SP3,[147.8526:147.8526:],147.8526,148,0.1474,0.1474,,176_NWChem_1JCH_mulliken,SP2,[163.8157:163.8095:],163.8126,165.1,1.2874,1.2874,,,,,,,,
46_NWChem_1JCH_mulliken,SP3,[122.4941:123.291:134.8042:134.8069:123.2883:122.4927:],126.8628667,127,0.1371333,0.1371333,,168_NWChem_1JCH_mulliken,SP2,[160.7239:],160.7239,162,1.2761,1.2761,,,,,,,,
18_NWChem_1JCH_mulliken,SP3,[131.8759:131.8759:],131.8759,132,0.1241,0.1241,,173_NWChem_1JCH_mulliken,SP2,[162.4239:162.4239:],162.4239,163.7,1.2761,1.2761,,,,,,,,
30_NWChem_1JCH_mulliken,SP3,[123.5402:123.5447:134.2279:],127.1042667,127,-0.1042667,0.1042667,,170_NWChem_1JCH_mulliken,SP2,[158.7271:],158.7271,160,1.2729,1.2729,,,,,,,,
101_NWChem_1JCH_mulliken,SP3,[132.596:132.596:],132.596,132.7,0.104,0.104,,146_NWChem_1JCH_mulliken,SP2,[159.7517:],159.7517,161,1.2483,1.2483,,,,,,,,
118_NWChem_1JCH_mulliken,SP3,[134.2304:123.5315:123.5426:],127.1015,127,-0.1015,0.1015,,149_NWChem_1JCH_mulliken,SP2,[181.4572:181.4572:181.4572:181.4572:],181.4572,182.7,1.2428,1.2428,,,,,,,,
4_NWChem_1JCH_mulliken,SP3,[123.4907:124.3982:124.4016:124.3979:124.4023:123.4901:124.4023:124.3972:123.4913:],124.0968444,124,-0.0968444,0.0968444,,77_NWChem_1JCH_mulliken,SP2,[156.1271:156.1271:],156.1271,154.9,-1.2271,1.2271,,,,,,,,
96_NWChem_1JCH_mulliken,SP3,[129.07:132.9408:],131.0054,131.1,0.0946,0.0946,,79_NWChem_1JCH_mulliken,SP2,[154.5172:],154.5172,153.3,-1.2172,1.2172,,,,,,,,
136_NWChem_1JCH_mulliken,SP3,[170.0462:170.0863:],170.06625,170,-0.06625,0.06625,,94_NWChem_1JCH_mulliken,SP2,[165.0961:165.0961:],165.0961,163.9,-1.1961,1.1961,,,,,,,,
3_NWChem_1JCH_mulliken,SP3,[124.5219:124.2584:124.2584:124.2584:124.2584:124.5219:],124.3462333,124.4,0.0537667,0.0537667,,109_NWChem_1JCH_mulliken,SP2,[167.806:],167.806,169,1.194,1.194,,,,,,,,
4_NWChem_1JCH_mulliken,SP3,[124.5441:],124.5441,124.5,-0.0441,0.0441,,89_NWChem_1JCH_mulliken,SP2,[162.7935:162.7935:],162.7935,161.6,-1.1935,1.1935,,,,,,,,
28_NWChem_1JCH_mulliken,SP3,[131.1615:131.1582:131.2374:131.1585:],131.1789,131.2,0.0211,0.0211,,112_NWChem_1JCH_mulliken,SP2,[163.8174:163.8174:],163.8174,165,1.1826,1.1826,,,,,,,,
94_NWChem_1JCH_mulliken,SP3,[125.5842:125.5842:],125.5842,125.6,0.0158,0.0158,,175_NWChem_1JCH_mulliken,SP2,[154.8286:154.8286:],154.8286,156,1.1714,1.1714,,,,,,,,
,,,,,,264.0494922,,188_NWChem_1JCH_mulliken,SP2,[166.6464:166.6458:],166.6461,165.5,-1.1461,1.1461,,,,,,,,
,,,,,,1.886067801,,133_NWChem_1JCH_mulliken,SP2,[178.5204:178.523:],178.5217,177.4,-1.1217,1.1217,,,,,,,,
,,,,,,,,173_NWChem_1JCH_mulliken,SP2,[161.2921:],161.2921,162.4,1.1079,1.1079,,,,,,,,
,,,,,,,,146_NWChem_1JCH_mulliken,SP2,[179.0983:],179.0983,178,-1.0983,1.0983,,,,,,,,
,,,,,,,,131_NWChem_1JCH_mulliken,SP2,[169.3842:],169.3842,168.3,-1.0842,1.0842,,,,,,,,
,,,,,,,,131_NWChem_1JCH_mulliken,SP2,[169.384:],169.384,168.3,-1.084,1.084,,,,,,,,
,,,,,,,,154_NWChem_1JCH_mulliken,SP2,[168.0809:168.0809:],168.0809,167,-1.0809,1.0809,,,,,,,,
,,,,,,,,162_NWChem_1JCH_mulliken,SP2,[184.5722:],184.5722,183.5,-1.0722,1.0722,,,,,,,,
,,,,,,,,186_NWChem_1JCH_mulliken,SP2,[156.4455:],156.4455,157.5,1.0545,1.0545,,,,,,,,
,,,,,,,,136_NWChem_1JCH_mulliken,SP2,[167.4528:167.4528:],167.4528,168.5,1.0472,1.0472,,,,,,,,
,,,,,,,,110_NWChem_1JCH_mulliken,SP2,[164.2431:],164.2431,163.2,-1.0431,1.0431,,,,,,,,
,,,,,,,,139_NWChem_1JCH_mulliken,SP2,[157.9943:157.9961:],157.9952,159,1.0048,1.0048,,,,,,,,
,,,,,,,,107_NWChem_1JCH_mulliken,SP2,[163.3012:],163.3012,162.3,-1.0012,1.0012,,,,,,,,
,,,,,,,,110_NWChem_1JCH_mulliken,SP2,[164.4094:],164.4094,165.4,0.9906,0.9906,,,,,,,,
,,,,,,,,144_NWChem_1JCH_mulliken,SP2,[159.041:],159.041,160,0.959,0.959,,,,,,,,
,,,,,,,,151_NWChem_1JCH_mulliken,SP2,[208.0556:],208.0556,207.1,-0.9556,0.9556,,,,,,,,
,,,,,,,,174_NWChem_1JCH_mulliken,SP2,[159.4513:],159.4513,160.4,0.9487,0.9487,,,,,,,,
,,,,,,,,106_NWChem_1JCH_mulliken,SP2,[157.4449:],157.4449,156.5,-0.9449,0.9449,,,,,,,,
,,,,,,,,106_NWChem_1JCH_mulliken,SP2,[157.4432:],157.4432,156.5,-0.9432,0.9432,,,,,,,,
,,,,,,,,106_NWChem_1JCH_mulliken,SP2,[157.4426:],157.4426,156.5,-0.9426,0.9426,,,,,,,,
,,,,,,,,115_NWChem_1JCH_mulliken,SP2,[161.8418:],161.8418,160.9,-0.9418,0.9418,,,,,,,,
,,,,,,,,106_NWChem_1JCH_mulliken,SP2,[157.4395:],157.4395,156.5,-0.9395,0.9395,,,,,,,,
,,,,,,,,161_NWChem_1JCH_mulliken,SP2,[183.6709:],183.6709,184.6,0.9291,0.9291,,,,,,,,
,,,,,,,,96_NWChem_1JCH_mulliken,SP2,[154.5055:154.508:],154.50675,153.6,-0.90675,0.90675,,,,,,,,
,,,,,,,,141_NWChem_1JCH_mulliken,SP2,[156.9062:156.9062:],156.9062,156,-0.9062,0.9062,,,,,,,,
,,,,,,,,79_NWChem_1JCH_mulliken,SP2,[158.1045:],158.1045,157.2,-0.9045,0.9045,,,,,,,,
,,,,,,,,175_NWChem_1JCH_mulliken,SP2,[161.3879:],161.3879,160.5,-0.8879,0.8879,,,,,,,,
,,,,,,,,180_NWChem_1JCH_mulliken,SP2,[165.777:165.777:],165.777,164.9,-0.877,0.877,,,,,,,,
,,,,,,,,152_NWChem_1JCH_mulliken,SP2,[171.9601:],171.9601,172.8,0.8399,0.8399,,,,,,,,
,,,,,,,,139_NWChem_1JCH_mulliken,SP2,[154.1902:154.2062:],154.1982,155,0.8018,0.8018,,,,,,,,
,,,,,,,,177_NWChem_1JCH_mulliken,SP2,[159.2775:159.2775:],159.2775,158.5,-0.7775,0.7775,,,,,,,,
,,,,,,,,141_NWChem_1JCH_mulliken,SP2,[157.7768:157.7768:],157.7768,157,-0.7768,0.7768,,,,,,,,
,,,,,,,,111_NWChem_1JCH_mulliken,SP2,[163.7566:],163.7566,163,-0.7566,0.7566,,,,,,,,
,,,,,,,,146_NWChem_1JCH_mulliken,SP2,[160.2613:],160.2613,161,0.7387,0.7387,,,,,,,,
,,,,,,,,161_NWChem_1JCH_mulliken,SP2,[188.3219:],188.3219,187.6,-0.7219,0.7219,,,,,,,,
,,,,,,,,138_NWChem_1JCH_mulliken,SP2,[156.212:156.212:],156.212,155.5,-0.712,0.712,,,,,,,,
,,,,,,,,174_NWChem_1JCH_mulliken,SP2,[161.2756:161.1449:],161.21025,161.9,0.68975,0.68975,,,,,,,,
,,,,,,,,185_NWChem_1JCH_mulliken,SP2,[169.0851:169.0851:169.0851:169.0851:],169.0851,168.4,-0.6851,0.6851,,,,,,,,
,,,,,,,,132_NWChem_1JCH_mulliken,SP2,[150.3177:150.323:],150.32035,151,0.67965,0.67965,,,,,,,,
,,,,,,,,132_NWChem_1JCH_mulliken,SP2,[150.3193:150.3247:],150.322,151,0.678,0.678,,,,,,,,
,,,,,,,,105_NWChem_1JCH_mulliken,SP2,[255.6601:255.6601:],255.6601,255,-0.6601,0.6601,,,,,,,,
,,,,,,,,128_NWChem_1JCH_mulliken,SP2,[157.4415:157.4415:],157.4415,158.1,0.6585,0.6585,,,,,,,,
,,,,,,,,129_NWChem_1JCH_mulliken,SP2,[158.762:158.762:158.762:158.762:],158.762,159.4,0.638,0.638,,,,,,,,
,,,,,,,,174_NWChem_1JCH_mulliken,SP2,[157.9234:165.3494:],161.6364,161,-0.6364,0.6364,,,,,,,,
,,,,,,,,181_NWChem_1JCH_mulliken,SP2,[163.2262:],163.2262,162.6,-0.6262,0.6262,,,,,,,,
,,,,,,,,133_NWChem_1JCH_mulliken,SP2,[161.9827:161.9844:],161.98355,162.6,0.61645,0.61645,,,,,,,,
,,,,,,,,177_NWChem_1JCH_mulliken,SP2,[159.7953:],159.7953,160.4,0.6047,0.6047,,,,,,,,
,,,,,,,,152_NWChem_1JCH_mulliken,SP2,[170.3948:],170.3948,169.8,-0.5948,0.5948,,,,,,,,
,,,,,,,,127_NWChem_1JCH_mulliken,SP2,[158.21:158.21:158.21:158.21:],158.21,158.8,0.59,0.59,,,,,,,,
,,,,,,,,182_NWChem_1JCH_mulliken,SP2,[169.3833:169.3833:],169.3833,168.8,-0.5833,0.5833,,,,,,,,
,,,,,,,,131_NWChem_1JCH_mulliken,SP2,[151.8178:],151.8178,152.4,0.5822,0.5822,,,,,,,,
,,,,,,,,163_NWChem_1JCH_mulliken,SP2,[209.6785:],209.6785,209.1,-0.5785,0.5785,,,,,,,,
,,,,,,,,133_NWChem_1JCH_mulliken,SP2,[160.5395:],160.5395,161.1,0.5605,0.5605,,,,,,,,
,,,,,,,,98_NWChem_1JCH_mulliken,SP2,[159.4454:159.4454:],159.4454,160,0.5546,0.5546,,,,,,,,
,,,,,,,,132_NWChem_1JCH_mulliken,SP2,[166.4473:166.4435:],166.4454,167,0.5546,0.5546,,,,,,,,
,,,,,,,,132_NWChem_1JCH_mulliken,SP2,[166.4476:166.4444:],166.446,167,0.554,0.554,,,,,,,,
,,,,,,,,181_NWChem_1JCH_mulliken,SP2,[160.5484:],160.5484,161.1,0.5516,0.5516,,,,,,,,
,,,,,,,,180_NWChem_1JCH_mulliken,SP2,[160.8688:160.8688:],160.8688,161.4,0.5312,0.5312,,,,,,,,
,,,,,,,,148_NWChem_1JCH_mulliken,SP2,[165.6711:],165.6711,166.2,0.5289,0.5289,,,,,,,,
,,,,,,,,127_NWChem_1JCH_mulliken,SP2,[158.9719:158.9719:158.9719:158.9719:],158.9719,159.5,0.5281,0.5281,,,,,,,,
,,,,,,,,129_NWChem_1JCH_mulliken,SP2,[158.3038:158.3038:],158.3038,158.8,0.4962,0.4962,,,,,,,,
,,,,,,,,96_NWChem_1JCH_mulliken,SP2,[154.7251:154.7266:],154.72585,155.2,0.47415,0.47415,,,,,,,,
,,,,,,,,129_NWChem_1JCH_mulliken,SP2,[158.5317:158.5317:158.5317:158.5317:],158.5317,159,0.4683,0.4683,,,,,,,,
,,,,,,,,78_NWChem_1JCH_mulliken,SP2,[154.449:],154.449,154,-0.449,0.449,,,,,,,,
,,,,,,,,121_NWChem_1JCH_mulliken,SP2,[191.6148:],191.6148,191.2,-0.4148,0.4148,,,,,,,,
,,,,,,,,161_NWChem_1JCH_mulliken,SP2,[203.0899:],203.0899,203.5,0.4101,0.4101,,,,,,,,
,,,,,,,,116_NWChem_1JCH_mulliken,SP2,[200.6042:],200.6042,200.2,-0.4042,0.4042,,,,,,,,
,,,,,,,,97_NWChem_1JCH_mulliken,SP2,[154.593:154.5997:154.5997:154.593:154.5997:154.593:154.5997:154.593:],154.59635,155,0.40365,0.40365,,,,,,,,
,,,,,,,,152_NWChem_1JCH_mulliken,SP2,[164.6988:],164.6988,165.1,0.4012,0.4012,,,,,,,,
,,,,,,,,128_NWChem_1JCH_mulliken,SP2,[159.301:159.301:159.301:159.301:],159.301,159.7,0.399,0.399,,,,,,,,
,,,,,,,,128_NWChem_1JCH_mulliken,SP2,[158.9213:158.9213:158.9213:158.9212:],158.921275,159.3,0.378725,0.378725,,,,,,,,
,,,,,,,,132_NWChem_1JCH_mulliken,SP2,[156.3749:156.3821:],156.3785,156,-0.3785,0.3785,,,,,,,,
,,,,,,,,131_NWChem_1JCH_mulliken,SP2,[155.3237:],155.3237,155.7,0.3763,0.3763,,,,,,,,
,,,,,,,,131_NWChem_1JCH_mulliken,SP2,[155.3239:],155.3239,155.7,0.3761,0.3761,,,,,,,,
,,,,,,,,169_NWChem_1JCH_mulliken,SP2,[160.6497:],160.6497,161,0.3503,0.3503,,,,,,,,
,,,,,,,,180_NWChem_1JCH_mulliken,SP2,[161.0557:],161.0557,161.4,0.3443,0.3443,,,,,,,,
,,,,,,,,166_NWChem_1JCH_mulliken,SP2,[164.9567:],164.9567,165.3,0.3433,0.3433,,,,,,,,
,,,,,,,,170_NWChem_1JCH_mulliken,SP2,[159.3313:],159.3313,159,-0.3313,0.3313,,,,,,,,
,,,,,,,,107_NWChem_1JCH_mulliken,SP2,[162.6158:],162.6158,162.3,-0.3158,0.3158,,,,,,,,
,,,,,,,,150_NWChem_1JCH_mulliken,SP2,[207.2019:207.2022:207.2019:],207.202,207.5,0.298,0.298,,,,,,,,
,,,,,,,,152_NWChem_1JCH_mulliken,SP2,[170.0705:],170.0705,169.8,-0.2705,0.2705,,,,,,,,
,,,,,,,,172_NWChem_1JCH_mulliken,SP2,[159.0685:],159.0685,158.8,-0.2685,0.2685,,,,,,,,
,,,,,,,,162_NWChem_1JCH_mulliken,SP2,[173.0369:],173.0369,173.3,0.2631,0.2631,,,,,,,,
,,,,,,,,79_NWChem_1JCH_mulliken,SP2,[149.8467:],149.8467,150.1,0.2533,0.2533,,,,,,,,
,,,,,,,,177_NWChem_1JCH_mulliken,SP2,[158.6519:158.6519:],158.6519,158.4,-0.2519,0.2519,,,,,,,,
,,,,,,,,147_NWChem_1JCH_mulliken,SP2,[182.2568:182.2568:],182.2568,182.5,0.2432,0.2432,,,,,,,,
,,,,,,,,152_NWChem_1JCH_mulliken,SP2,[173.6603:],173.6603,173.9,0.2397,0.2397,,,,,,,,
,,,,,,,,171_NWChem_1JCH_mulliken,SP2,[156.3449:156.2804:],156.31265,156.1,-0.21265,0.21265,,,,,,,,
,,,,,,,,107_NWChem_1JCH_mulliken,SP2,[156.7962:],156.7962,156.6,-0.1962,0.1962,,,,,,,,
,,,,,,,,137_NWChem_1JCH_mulliken,SP2,[157.3064:157.3064:],157.3064,157.5,0.1936,0.1936,,,,,,,,
,,,,,,,,130_NWChem_1JCH_mulliken,SP2,[170.8145:170.8145:170.8145:170.8145:],170.8145,171,0.1855,0.1855,,,,,,,,
,,,,,,,,171_NWChem_1JCH_mulliken,SP2,[157.5247:157.5276:],157.52615,157.7,0.17385,0.17385,,,,,,,,
,,,,,,,,158_NWChem_1JCH_mulliken,SP2,[194.471:],194.471,194.3,-0.171,0.171,,,,,,,,
,,,,,,,,77_NWChem_1JCH_mulliken,SP2,[152.5333:152.5333:],152.5333,152.7,0.1667,0.1667,,,,,,,,
,,,,,,,,126_NWChem_1JCH_mulliken,SP2,[158.5497:158.5487:158.5487:158.5497:158.5487:158.5487:],158.5490333,158.4,-0.1490333,0.1490333,,,,,,,,
,,,,,,,,181_NWChem_1JCH_mulliken,SP2,[161.2565:],161.2565,161.4,0.1435,0.1435,,,,,,,,
,,,,,,,,106_NWChem_1JCH_mulliken,SP2,[156.2278:],156.2278,156.1,-0.1278,0.1278,,,,,,,,
,,,,,,,,106_NWChem_1JCH_mulliken,SP2,[156.227:],156.227,156.1,-0.127,0.127,,,,,,,,
,,,,,,,,106_NWChem_1JCH_mulliken,SP2,[156.225:],156.225,156.1,-0.125,0.125,,,,,,,,
,,,,,,,,106_NWChem_1JCH_mulliken,SP2,[156.223:],156.223,156.1,-0.123,0.123,,,,,,,,
,,,,,,,,146_NWChem_1JCH_mulliken,SP2,[160.8802:],160.8802,161,0.1198,0.1198,,,,,,,,
,,,,,,,,144_NWChem_1JCH_mulliken,SP2,[177.8806:],177.8806,178,0.1194,0.1194,,,,,,,,
,,,,,,,,209_NWChem_1JCH_mulliken,SP2,[226.0862:],226.0862,226.2,0.1138,0.1138,,,,,,,,
,,,,,,,,146_NWChem_1JCH_mulliken,SP2,[177.9209:],177.9209,178,0.0791,0.0791,,,,,,,,
,,,,,,,,173_NWChem_1JCH_mulliken,SP2,[165.2222:165.2222:],165.2222,165.3,0.0778,0.0778,,,,,,,,
,,,,,,,,168_NWChem_1JCH_mulliken,SP2,[159.9254:],159.9254,160,0.0746,0.0746,,,,,,,,
,,,,,,,,171_NWChem_1JCH_mulliken,SP2,[158.033:],158.033,158.1,0.067,0.067,,,,,,,,
,,,,,,,,124_NWChem_1JCH_mulliken,SP2,[226.1387:],226.1387,226.2,0.0613,0.0613,,,,,,,,
,,,,,,,,166_NWChem_1JCH_mulliken,SP2,[172.3403:],172.3403,172.4,0.0597,0.0597,,,,,,,,
,,,,,,,,175_NWChem_1JCH_mulliken,SP2,[156.8602:156.8602:],156.8602,156.9,0.0398,0.0398,,,,,,,,
,,,,,,,,170_NWChem_1JCH_mulliken,SP2,[160.9666:],160.9666,161,0.0334,0.0334,,,,,,,,
,,,,,,,,172_NWChem_1JCH_mulliken,SP2,[157.6312:157.6312:],157.6312,157.6,-0.0312,0.0312,,,,,,,,
,,,,,,,,208_NWChem_1JCH_mulliken,SP2,[191.1749:],191.1749,191.2,0.0251,0.0251,,,,,,,,
,,,,,,,,172_NWChem_1JCH_mulliken,SP2,[155.9207:155.9207:],155.9207,155.9,-0.0207,0.0207,,,,,,,,
,,,,,,,,96_NWChem_1JCH_mulliken,SP2,[159.409:159.4071:],159.40805,159.4,-0.00805,0.00805,,,,,,,,
,,,,,,,,,,,,,,471.3926833,,,,,,,,
,,,,,,,,,,,,,,1.848598758,,,,,,,,
